id,label,external,entrypoint
216,Lcom/tencent/bugly/legu/BuglyStrategy;->isReplaceOldChannel()Z [access_flags=public] @ 0x20680,False,False
217,Lcom/tencent/bugly/legu/BuglyStrategy;->getDeviceID()Ljava/lang/String; [access_flags=public synchronized] @ 0x2054c,False,False
218,Lcom/tencent/bugly/legu/BuglyStrategy;->isBuglyLogUpload()Z [access_flags=public synchronized] @ 0x205d0,False,False
219,Lcom/tencent/bugly/legu/BuglyStrategy;->getUserInfoActivity()Ljava/lang/Class; [access_flags=public synchronized] @ 0x205a4,False,False
220,Lcom/tencent/bugly/legu/BuglyStrategy;->recordUserInfoOnceADay()Z [access_flags=public synchronized] @ 0x20698,False,False
221,Lcom/tencent/bugly/legu/BuglyStrategy;->isEnableUserInfo()Z [access_flags=public synchronized] @ 0x20654,False,False
222,Lcom/tencent/bugly/legu/a;-><init>()V [access_flags=public constructor] @ 0x20bbc,False,False
223,Lcom/tencent/bugly/legu/a;->onDbDowngrade(Landroid/database/sqlite/SQLiteDatabase; I I)V [access_flags=public] @ 0x20be8,False,False
224,Landroid/database/sqlite/SQLiteDatabase;->execSQL(Ljava/lang/String;)V,True,False
225,Lcom/tencent/bugly/legu/a;->getTables()[Ljava/lang/String; [access_flags=public abstract] @ 0x0,False,False
226,Lcom/tencent/bugly/legu/a;->onDbCreate(Landroid/database/sqlite/SQLiteDatabase;)V [access_flags=public] @ 0x20bd4,False,False
227,Ljava/lang/StringBuilder;-><init>(Ljava/lang/String;)V,True,False
228,Lcom/tencent/bugly/legu/a;->onDbUpgrade(Landroid/database/sqlite/SQLiteDatabase; I I)V [access_flags=public] @ 0x20c74,False,False
229,Lcom/tencent/bugly/legu/a;->init(Landroid/content/Context; Z Lcom/tencent/bugly/legu/BuglyStrategy;)V [access_flags=public abstract] @ 0x0,False,False
230,Lcom/tencent/bugly/legu/a;->onServerStrategyChanged(Lcom/tencent/bugly/legu/crashreport/common/strategy/StrategyBean;)V [access_flags=public] @ 0x20d00,False,False
231,Lcom/tencent/bugly/legu/CrashModule;-><clinit>()V [access_flags=static constructor] @ 0x20918,False,False
232,Lcom/tencent/bugly/legu/CrashModule;-><init>()V [access_flags=public constructor] @ 0x20944,False,False
233,Lcom/tencent/bugly/legu/CrashModule;->a(Landroid/content/Context; Lcom/tencent/bugly/legu/BuglyStrategy;)V [access_flags=private synchronized] @ 0x2095c,False,False
234,Lcom/tencent/bugly/legu/crashreport/common/info/a;->a(Landroid/content/Context;)Lcom/tencent/bugly/legu/crashreport/common/info/a; [access_flags=public static synchronized] @ 0x24cc8,False,False
235,Lcom/tencent/bugly/legu/proguard/w;->a(Ljava/lang/String; [Ljava/lang/Object;)Z [access_flags=public static varargs] @ 0x3fbf4,False,False
236,Ljava/lang/Long;->valueOf(J)Ljava/lang/Long;,True,False
237,Lcom/tencent/bugly/legu/CrashModule;->init(Landroid/content/Context; Z Lcom/tencent/bugly/legu/BuglyStrategy;)V [access_flags=public] @ 0x20a8c,False,False
238,Lcom/tencent/bugly/legu/proguard/m;->a()Lcom/tencent/bugly/legu/proguard/m; [access_flags=public static synchronized] @ 0x39d54,False,False
239,Lcom/tencent/bugly/legu/crashreport/crash/c;->g()V [access_flags=public final] @ 0x2c53c,False,False
240,Lcom/tencent/bugly/legu/crashreport/crash/c;->a(J)V [access_flags=public final] @ 0x2c2f0,False,False
241,Lcom/tencent/bugly/legu/crashreport/crash/c;->i()V [access_flags=public final] @ 0x2c57c,False,False
242,Lcom/tencent/bugly/legu/crashreport/crash/c;->e()V [access_flags=public final] @ 0x2c500,False,False
243,Lcom/tencent/bugly/legu/crashreport/crash/d;->a(Landroid/content/Context;)V [access_flags=public static] @ 0x2ca54,False,False
244,Lcom/tencent/bugly/legu/crashreport/crash/c;->f()V [access_flags=public final] @ 0x2c51c,False,False
245,Lcom/tencent/bugly/legu/crashreport/crash/c;->a()Lcom/tencent/bugly/legu/crashreport/crash/c; [access_flags=public static] @ 0x2c250,False,False
246,Lcom/tencent/bugly/legu/crashreport/crash/c;->h()V [access_flags=public final] @ 0x2c55c,False,False
247,Lcom/tencent/bugly/legu/proguard/m;->a(I I)Z [access_flags=public final synchronized] @ 0x3a0bc,False,False
